PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
2	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
3	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
4	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
5	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
6	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
7	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
8	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
9	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
10	6.325075	-369.782393	-7.244228	0.000000	0.000000	-269.872448
11	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
12	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
13	-0.012135	3.181338	-7.244228	0.000000	0.000000	-269.872448
14	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
15	6.101932	-371.567543	-7.244228	0.000000	0.000000	-269.872448
16	7.552765	-47.895898	-6.214608	0.000000	0.000000	-302.108638
17	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
18	-0.805823	-2.732370	-6.214608	0.000000	0.000000	-302.108638
19	6.571936	-55.742530	-6.214608	0.000000	0.000000	-302.108638
20	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
21	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
22	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
23	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
24	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
25	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
26	-0.805823	-113.613874	-6.214608	0.000000	0.000000	-302.108638
27	6.571936	-55.742530	-6.214608	0.000000	0.000000	-302.108638
28	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
29	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
30	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
31	0.825594	1.989971	-6.396930	0.000000	-4.605170	-75.762161
32	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
33	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
34	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
35	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
36	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
37	-0.075193	1.715147	-6.396930	0.000000	-4.605170	-75.762161
38	-0.224228	1.138642	-6.396930	0.000000	-4.605170	-75.762161
39	0.355590	-0.789231	-6.396930	0.000000	-4.605170	-75.762161
40	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
41	-0.492654	-1.445774	-7.090077	0.000000	-4.605170	-351.091532
42	-0.492654	-2.757679	-7.090077	0.000000	-4.605170	-351.091532
43	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
44	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
45	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
46	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
47	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
48	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
49	0.200493	1.249304	-7.090077	0.000000	-4.605170	-351.091532
50	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
51	6.751574	-573.887698	-7.090077	0.000000	-4.605170	-351.091532
52	6.677466	-574.480562	-7.090077	0.000000	-4.605170	-351.091532
53	-0.492654	-631.790720	-7.090077	0.000000	-4.605170	-351.091532
54	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
55	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
56	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
57	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
58	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
59	2.607644	-0.516905	-6.396930	0.000000	-4.605170	-252.047293
60	0.000000	-53.613911	-6.396930	0.000000	-4.605170	-252.047293
61	0.000000	-667.156583	-6.396930	0.000000	0.000000	-30.926856
62	0.000000	-667.156583	-6.396930	0.000000	0.000000	-30.926856
63	0.000000	-667.156583	-6.396930	0.000000	0.000000	-30.926856
64	0.000000	-667.156583	-6.396930	0.000000	0.000000	-30.926856
65	0.000000	-667.156583	-6.396930	0.000000	0.000000	-30.926856
66	0.000000	-10.855568	-6.396930	0.000000	0.000000	-30.926856
67	7.082761	-596.679321	-6.396930	0.000000	0.000000	-30.926856
68	-0.054288	0.698389	-6.802395	0.000000	0.000000	-55.955187
69	0.000000	-41.446530	-6.802395	0.000000	0.000000	-55.955187
70	0.000000	-41.446530	-6.802395	0.000000	0.000000	-55.955187
71	0.000000	-0.669361	-5.703782	0.000000	0.000000	-27.631020
72	0.000000	-0.669361	-5.703782	0.000000	0.000000	-27.631020
73	-0.090507	0.147206	-5.703782	0.000000	0.000000	-27.631020
74	-0.023816	1.586445	-5.703782	0.000000	0.000000	-27.631020
75	-0.053373	1.820141	-5.703782	0.000000	0.000000	-27.631020
76	0.000000	-22.836823	-6.396930	0.000000	0.000000	-74.781332
77	-0.171619	0.350417	-6.396930	0.000000	0.000000	-74.781332
78	0.000000	-22.836823	-6.396930	0.000000	0.000000	-74.781332
79	0.000000	-22.836823	-6.396930	0.000000	0.000000	-74.781332
80	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
81	0.000000	-2.316446	-6.396930	0.000000	-4.605170	-46.051700
82	-0.016293	2.805760	-6.396930	0.000000	-4.605170	-46.051700
83	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
84	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
85	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
86	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
87	0.346856	0.859125	-7.438384	0.000000	0.000000	-43.525971
88	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
89	0.159258	0.922016	-7.438384	0.000000	0.000000	-43.525971
90	0.000000	-607.323981	-6.396930	0.000000	-4.605170	-46.051700
91	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
92	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
93	-0.041206	1.871604	-6.214608	0.000000	-4.605170	-77.148456
94	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
95	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
96	5.837780	-399.096706	-6.214608	0.000000	-4.605170	-77.148456
97	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
98	0.420623	0.123381	-6.396930	0.000000	-4.605170	-472.101071
99	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
100	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
101	0.420623	-0.587473	-6.396930	0.000000	-4.605170	-472.101071
102	0.420623	0.443170	-6.396930	0.000000	-4.605170	-472.101071
103	8.915343	-671.005472	-4.605170	0.000000	-4.605170	-495.126921
104	0.420623	-744.566527	-6.396930	0.000000	-4.605170	-472.101071
105	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
106	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
107	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
108	-2.969146	-279.630188	-7.170120	0.000000	-5.298317	-451.613373
