id	links	xcoord_p	ycoord_p
1	3	1575172.1575869252	485058.5067414613
3	1	1576880.619335469	488665.21865921875
4	3	1598907.0777841117	507284.2209023661
8	2	1601192.748725526	508586.13106401876
10	1	1585046.6860809636	405606.3051524761
11	1	1586815.1539407216	405387.25022276765
12	3	1665786.5272063504	426631.9454354214
13	4	1664103.7597427014	422582.70816499717
14	1	1663223.9984129104	421728.1065409329
15	3	1641081.5796434341	465755.335810469
16	1	1640682.766501622	465793.3172840113
17	3	1695707.5070499084	501527.1674693511
18	3	1695748.189896561	501875.87916681694
19	3	1648000.1316570586	413837.3751834933
20	3	1651876.986508641	415787.25452790706
21	3	1651890.2661979424	417502.7173119592
22	3	1696696.5728890891	488138.4375185146
23	3	1697906.958833606	487911.64701287437
24	3	1698409.3551326573	487795.2215218672
25	3	1657484.3164723108	467818.79247802636
26	3	1657423.6343907958	468426.2615362725
27	3	1641208.6324658396	435030.6287862501
28	3	1640854.5089209927	435031.3348008006
29	1	1639801.0347472408	435109.82221074094
30	3	1633562.4559204956	476353.55514536414
31	1	1633337.3636767038	476883.25467306137
32	3	1655272.7282883767	424522.2417152066
33	3	1593079.4693975814	436117.33147356455
34	3	1593285.4401409011	437298.1250192061
35	3	1594127.418527612	439854.03444815683
36	3	1595208.8202762941	440743.66213453515
37	3	1597630.1990754465	440742.203843057
38	4	1599665.7885643397	444437.77679631265
39	3	1595883.8591772374	440667.3063289833
40	3	1650053.1309093207	457316.7797966109
41	3	1650242.9639771187	458469.37204782106
42	3	1650590.1895832669	458707.28508827917
43	3	1649103.2646951068	458364.2817294123
44	3	1690910.7752080301	479132.3732981481
45	3	1606972.716304439	439475.47355296905
46	4	1607156.8884257816	439906.01183041977
47	3	1607353.342942365	440343.67937212676
48	3	1666918.549017016	516287.8322693586
49	1	1666021.8081193448	516919.2760868383
50	4	1657027.520386417	483834.74314077094
51	3	1654885.159434691	484600.0145779428
52	3	1648281.674254282	486085.50079752016
53	3	1648020.7941413848	485891.80354485335
54	3	1688100.15799876	443030.14667065226
55	3	1688029.9256491007	444046.784026273
56	3	1694304.3071403003	517934.0006630346
57	3	1693322.1584838121	518407.0540583678
58	3	1699542.8045613824	433499.02185732976
59	3	1699747.129920176	433421.4212427385
60	3	1698706.6087291588	434724.0100049198
61	3	1697815.9277079694	435169.8170530627
62	3	1695506.0970468493	436085.7558984853
63	4	1694156.0208307006	436937.1274680183
64	3	1690770.5551219594	437110.09328958974
65	3	1665013.674916419	473061.57641340396
66	3	1665293.3864271415	473037.90982422454
67	3	1623576.7278776567	534543.7563547499
68	4	1621278.5400640534	536724.0536648891
69	3	1621482.8036418536	539867.9520019924
70	3	1621357.3939383412	540662.681879264
71	3	1623098.4016766686	531806.8246645728
72	3	1656292.3618170454	466989.9487642559
73	3	1656543.0024682602	467105.56601603166
74	3	1657030.1046470383	467345.6952296648
75	3	1657286.4929631809	467526.78075606696
76	3	1658005.5552200663	467499.439415476
77	4	1658242.037608658	467487.0876008709
78	3	1658717.4233296337	467466.3681723735
79	4	1659373.402526881	467376.75727436546
80	3	1659865.8478612106	467310.73700797
81	4	1660109.8440961167	467277.93562342925
82	4	1660577.9049458362	467210.72990047745
83	4	1661093.2841528987	467148.49191788404
84	3	1646683.8295631958	470036.6793957617
85	1	1647236.3054163952	471698.1518234655
86	3	1693217.9288668104	505560.31750868575
87	3	1692844.0707546922	507175.01226171566
88	1	1692733.2524605074	507227.3908247607
89	3	1655779.2215578211	520058.650525574
90	1	1657558.0416427092	519227.4056464377
91	3	1611093.3261384137	526560.8361904939
92	3	1614969.5952737224	550932.082158594
93	2	1585019.0315233893	405768.6602155113
94	2	1663198.1507879288	481499.9856765564
95	3	1663082.9307798622	481505.5640400244
96	3	1662864.0093778784	481538.442250213
